"ingredients","location","price","business","dish","date"
"","Adlershof","6.00","Sonnenschein","Rinder Gulasch „Jäger Art“, Nudeln","09.08.2017"
"","Adlershof","6.00","Sonnenschein","Hühnerbrust in Kokos-Mango-Sauce zu Reispilaw","09.08.2017"
"","Adlershof","6.00","Sonnenschein","Schweine geschnetzeltes „Gyros Art“, Bratkartoffeln, Tsatsiki","09.08.2017"
"Vegetarian","Adlershof","5.00","Sonnenschein","Eierkuchen mit Champignonfüllung überbacken mit Käse, Salat, Sauce (vegetarisch)","09.08.2017"
"","Adlershof","4.00","Sonnenschein","Chinanudeln mit Huhn & 1 Brötchen","10.08.2017"
"","Adlershof","6.00","Sonnenschein","Kotelett „a la Kiew“ (Hühnerbrust), Bratkartoffeln, Kräuterrahmsauce, Salat","10.08.2017"
"Fish","Adlershof","6.80","Sonnenschein","Lachsschnitte auf Rahmblattspinat, Drillinge Kartoffeln","10.08.2017"
"","Adlershof","6.00","Sonnenschein","- Schaschlik, Zwiebel-Tomatensauce, Bratkartoffeln, Salat","10.08.2017"
"Vegetarian","Adlershof","5.50","Sonnenschein","Gorgonzola Rahmspinat, Butterkartoffeln, 2 gekochtes Eier (vegetarisch)","10.08.2017"
"Soup","Adlershof","4.00","Sonnenschein","Mediterrane Suppe mit Gemüse & 1 Brötchen","11.08.2017"
"","Adlershof","6.00","Sonnenschein","Rinderroulade in Del.sauce, Apfelrotkohl, Butterkartoffel","11.08.2017"
"","Adlershof","6.00","Sonnenschein","Russische Biljaschi (Teigtasche mit Putengehacktem), Salat, Sauce","11.08.2017"
"","Adlershof","5.90","Sonnenschein","Spagetti Erbsen-Carbonara","11.08.2017"
"Vegetarian","Adlershof","5.00","Sonnenschein","Gemüse Lasagne, cremige Tomatensauce, Salat (vegetarisch)","11.08.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Mediterrane Gemüse-Lasagne mit Buchweizen und Hausgemachtem Kräuterquark","15.8.2017"
"Bio;Vegetarian","Adlershof","4.5","Jouis Nour","Vegetarisches Chili con Soja mit Koriander und Joghurtdip","16.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Schnitzel Wiener Art mit Blumenkohlrahm und Salzkartoffeln","16.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Penne Arabiatta mit Kirschtomaten und Gouda","16.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Feine Erbsen-Kräutercremesuppe mit Karottenstreifen","17.8.2017"
"Fish","Adlershof","","Jouis Nour","Forelle Müllerin Art mit Wurzelgemüse und Petersilienkartoffeln","17.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Waldpilzrisotto mit Parmesanhobel","17.8.2017"
"Bio;Vegetarian","Adlershof","4","Jouis Nour","Blumenkohl-Süppchen mit gerösteten Haferflocken","18.8.2017"
"Bio","Adlershof","7","Jouis Nour","Rinderboulette gefüllt mit Fetakäse an Ratatouille und Tomatenreis","18.8.2017"
"Bio;Vegan;Vegetarian","Adlershof","5.9","Jouis Nour","Linsen-Gemüse-Curry mit Basmatireis und Koriander","18.8.2017"
"Bio;Vegan;Vegetarian;Soup","Adlershof","4","Jouis Nour","Zucchinisuppe mit Infwer-Croutons","21.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Szegediner Gulasch mit Kartoffeln und Creme Fraiche","21.8.2017"
"Bio;Vegetarian","Adlershof","5.5","Jouis Nour","Tomatisierte Spaghetti mit Spinat, gerösteten Nüssen und geriebenem Käse","21.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Beluga-Linsensuppe mit Zitronenjoghurt-Dip","22.8.2017"
"Bio","Adlershof","7","Jouis Nour","Falscher Hase mit Möhren auf Kartoffelpüree mit Dill-Joghurt-Dip","22.8.2017"
"Bio;Vegan;Vegetarian","Adlershof","5.9","Jouis Nour","Gemüse-Grünkern-Pfanne mit Naturreis und einer leichten Nuss-Sauce","22.8.2017"
"Bio","Adlershof","4","Jouis Nour","Klare Rinderbrühe mit Fadennudeln","23.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Putenschnitzel mit Pfifferlingsauce und Rosmarinkartoffeln","23.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Schupfnudelpfanne mit Basilikumpesto und Marktgemüse","23.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Cremige Rucola-Käsesuppe mit Chili-Croutons","24.8.2017"
"Fish","Adlershof","7.9","Jouis Nour","Gebratener Seelachs auf Mangold-Zucchinigemüse mit gebackenen Süßkartoffeln und Currysauce","24.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Feuriger Couscous mit marokkanischem Gemüsetopf und Ingwer-Zimt-Dip","24.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Sellerie-Cremesuppe mit Kräutern","25.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Rinderstreifen nach Stroganoff Art mit Salzkartoffeln","25.8.2017"
"Bio;Vegan;Vegetarian","Adlershof","5.9","Jouis Nour","Blumenkohl-Amaranth-Pfanne an Tomatensauce","25.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Indische Möhrensuppe mit Orangen-Joghurt","28.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Puten-Gyros mit Tomaten-Paprikasauce und Vollkornreis","28.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Gemüse-Kichererbsenpfanne und Joghurt-Dip","28.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Kartoffel-Frischkäsesuppe mit frischem Dill","29.8.2017"
"Bio","Adlershof","6.5","Jouis Nour","Berliner Jägerschnitzel mit Tomatensauce und Spirelli","29.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Getreide-Gemüse-Taler mit Sesamsauce und buntem Salat","29.8.2017"
"Bio;Vegetarian;Soup","Adlershof","4","Jouis Nour","Kürbis-Cremesuppe mit Orangen und Ingwer dazu Sesam","30.8.2017"
"Bio","Adlershof","7.5","Jouis Nour","Cordon Bleu vom Schwein mit Brokkoli und Kartoffelstampf","30.8.2017"
"Bio;Vegetarian","Adlershof","5.9","Jouis Nour","Farfalle mit Pilz-Ragout und Cherrytomaten dazu geriebenen Käse","30.8.2017"
"Bio;Soup","Adlershof","4.5","Jouis Nour","Berliner Erbsensuppe mit Wiener Würstchen","31.8.2017"
"Fish","Adlershof","7.9","Jouis Nour","Gebratenes Zanderfilet auf Karotten-Lauch-Rahm und Kräuterreis","31.8.2017"
"Bio;Vegetarian","Adlershof","5.5","Jouis Nour","Vollkorn-Spaghetti mit Pesto und Tomatenwürfeln","31.8.2017"
"Vegetarian","Adlershof","5","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","17.7.2017"
"","Adlershof","6","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","17.7.2017"
"Fish","Adlershof","7","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","17.7.2017"
"Vegetarian","Adlershof","5","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","18.7.2017"
"","Adlershof","6","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","18.7.2017"
"Fish","Adlershof","7","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","18.7.2017"
"Vegetarian","Adlershof","5","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","19.7.2017"
"","Adlershof","6","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","19.7.2017"
"Fish","Adlershof","7","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","19.7.2017"
"Vegetarian","Adlershof","5","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","20.7.2017"
"","Adlershof","6","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","20.7.2017"
"Fish","Adlershof","7","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","20.7.2017"
"Vegetarian","Adlershof","5","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","21.7.2017"
"","Adlershof","6","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","21.7.2017"
"Fish","Adlershof","7","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","21.7.2017"
"","Adlershof","5","FOOD","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","24.7.2017"
"Fish","Adlershof","6","FOOD","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","24.7.2017"
"","Adlershof","7","FOOD","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","24.7.2017"
"","Adlershof","5","FOOD","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","25.7.2017"
"Fish","Adlershof","6","FOOD","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","25.7.2017"
"","Adlershof","7","FOOD","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","25.7.2017"
"","Adlershof","5","FOOD","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","26.7.2017"
"Fish","Adlershof","6","FOOD","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","26.7.2017"
"","Adlershof","7","FOOD","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","26.7.2017"
"","Adlershof","5","FOOD","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","27.7.2017"
"Fish","Adlershof","6","FOOD","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","27.7.2017"
"","Adlershof","7","FOOD","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","27.7.2017"
"","Adlershof","5","FOOD","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","28.7.2017"
"Fish","Adlershof","6","FOOD","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","28.7.2017"
"","Adlershof","7","FOOD","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","28.7.2017"
"Fish","Adlershof","5","FOOD","Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","31.7.2017"
