"price","dish","date","ingredients","business","location"
"5.00","Zucchini-kartoffel-Auflauf, cremige Tomatensauce, Salat (vegetarisch)","25.07.2017","Vegetarian","Sonnenschein","Adlershof"
"4.00","Marokkanische Gemüse-Rindfleisch Eintopf & 1 Brötchen","26.07.2017","","Sonnenschein","Adlershof"
"7.80","Riesen Burger, Pommes frites, Ketchup","26.07.2017","","Sonnenschein","Adlershof"
"6.00","Hühnerbrust mit würzige Paste, gegrillte Aprikosen in Sauce, Reis","26.07.2017","","Sonnenschein","Adlershof"
"6.00","Moussaka Griechische Art, cremige Tomatensauce, Salat","26.07.2017","","Sonnenschein","Adlershof"
"5.50","Gorgonzola Rahmspinat, 2 Spiegeleier, Butterkartoffel, (vegetarisch)","26.07.2017","Vegetarian","Sonnenschein","Adlershof"
"4.00","Feurige Currysuppe mit Hühnerfleisch & 1 Brötchen","27.07.2017","Soup","Sonnenschein","Adlershof"
"6.80","Lachs-Kräuterschnitte auf Spinatnest, Butterkartoffeln, Anjarsauce","27.07.2017","Fish","Sonnenschein","Adlershof"
"6.00","Schweinemedaillons unter Champignon Rahmsauce, Bratkartoffeln","27.07.2017","","Sonnenschein","Adlershof"
"6.00","Gegrillte Hühnerschnitzel, Reis Pilaw, Kaisergemüse, Anjarsauce","27.07.2017","","Sonnenschein","Adlershof"
"5.00","Gnocchi mit knusprige Salbei und Gemüse in Tomatensauce (vegetarisch)","27.07.2017","Vegetarian","Sonnenschein","Adlershof"
"4.00","Kartoffelsuppe mit Hackbällchen a la Greque & 1 Brötchen","28.07.2017","Soup","Sonnenschein","Adlershof"
"6.00","Sonntagspfanne „Jäger Art“, Bratkartoffeln, Salat","28.07.2017","","Sonnenschein","Adlershof"
"6.00","Rahmhähnchen mit Zucchini, Butterkartoffeln, Salat","28.07.2017","","Sonnenschein","Adlershof"
"6.00","Rinderhackbraten mit Porreefüllung,, Reis Pilaw, Paprikarahmsauce","28.07.2017","","Sonnenschein","Adlershof"
"5.00","Zucchini-Paprika-Kartoffeln Tortilla, Salat, Paprikarahmsauce (vegetarisch)","28.07.2017","Vegetarian","Sonnenschein","Adlershof"
"6,60","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","24.07.2017","","La Petite","Adlershof"
"6,60","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","25.07.2017","","La Petite","Adlershof"
"6,60","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","26.07.2017","","La Petite","Adlershof"
"6,60","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","27.07.2017","","La Petite","Adlershof"
"6,60","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","28.07.2017","","La Petite","Adlershof"
"6,30","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat","24.07.2017","","La Petite","Adlershof"
"6,30","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat","25.07.2017","","La Petite","Adlershof"
"6,30","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat","26.07.2017","","La Petite","Adlershof"
"6,30","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat","27.07.2017","","La Petite","Adlershof"
"6,30","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat","28.07.2017","","La Petite","Adlershof"
"5,70","Pikantes Würstchengoulasch mit Nudeln","24.07.2017","","La Petite","Adlershof"
"5,70","Pikantes Würstchengoulasch mit Nudeln","25.07.2017","","La Petite","Adlershof"
"5,70","Pikantes Würstchengoulasch mit Nudeln","26.07.2017","","La Petite","Adlershof"
"5,70","Pikantes Würstchengoulasch mit Nudeln","27.07.2017","","La Petite","Adlershof"
"5,70","Pikantes Würstchengoulasch mit Nudeln","28.07.2017","","La Petite","Adlershof"
"4,60","Hefeklöße mit Heidelbeeren und Vanillesauce","24.07.2017","","La Petite","Adlershof"
"4,60","Hefeklöße mit Heidelbeeren und Vanillesauce","25.07.2017","","La Petite","Adlershof"
"4,60","Hefeklöße mit Heidelbeeren und Vanillesauce","26.07.2017","","La Petite","Adlershof"
