"ingredients","business","dish","price","location","date"
"","Albert","Königsberger Klopse mit Erbsen-Karottengemüse & Reis oder Salzkartoffeln","5.80","Adlershof","2017-09-12 00:00:00"
"Soup","Albert","Spitzkohlcremesuppe mit Schinkenstreifen","3.90","Adlershof","2017-09-13 00:00:00"
"Vegetarian","Albert","Spaghetti mit Orangen-Fenchel & Granatapfelkernen","5.00","Adlershof","2017-09-13 00:00:00"
"","Albert","Cordon Bleu mit Buttererbsen & Kartoffelpüree","5.80","Adlershof","2017-09-13 00:00:00"
"","Albert","Weiße Bohneneintopf mit","3.90","Adlershof","2017-09-14 00:00:00"
"Vegetarian","Albert","Gnocchis mit Kürbis, Ziegenkäsesauce & Thymian","5.00","Adlershof","2017-09-14 00:00:00"
"","Albert","Rinderbraten mit Burgundersauce, Speckbohnen & Böhmischen Knödeln","6.10","Adlershof","2017-09-14 00:00:00"
"Vegetarian;Soup","Albert","Tomatensuppe mit Knoblauchcroutons und Basilikum","3.90","Adlershof","2017-09-15 00:00:00"
"Vegetarian","Albert","Kartoffel-Gemüse-Tortilla mit Lollo Rosso & Kräuterdressing","5.00","Adlershof","2017-09-15 00:00:00"
"","Albert","Kohlroulade gefüllt mit Hackfleisch, dazu Salzkartoffeln","5.80","Adlershof","2017-09-15 00:00:00"
"Flammkuchen","Albert","Flammkuchen: „Herbstgeflüster“ mit Schmand, Kürbis, Chorizo & Schafskäse","7.00","Adlershof","2017-09-11 00:00:00"
"Flammkuchen","Albert","Flammkuchen: „Herbstgeflüster“ mit Schmand, Kürbis, Chorizo & Schafskäse","7.00","Adlershof","2017-09-12 00:00:00"
"Flammkuchen","Albert","Flammkuchen: „Herbstgeflüster“ mit Schmand, Kürbis, Chorizo & Schafskäse","7.00","Adlershof","2017-09-13 00:00:00"
"Flammkuchen","Albert","Flammkuchen: „Herbstgeflüster“ mit Schmand, Kürbis, Chorizo & Schafskäse","7.00","Adlershof","2017-09-14 00:00:00"
"Flammkuchen","Albert","Flammkuchen: „Herbstgeflüster“ mit Schmand, Kürbis, Chorizo & Schafskäse","7.00","Adlershof","2017-09-15 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50","Adlershof","2017-09-11 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50","Adlershof","2017-09-12 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50","Adlershof","2017-09-13 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50","Adlershof","2017-09-14 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50","Adlershof","2017-09-15 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50","Adlershof","2017-09-11 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50","Adlershof","2017-09-12 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50","Adlershof","2017-09-13 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50","Adlershof","2017-09-14 00:00:00"
"Flammkuchen","Albert","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50","Adlershof","2017-09-15 00:00:00"
