"business","location","ingredients","date","dish","price"
"Jouis Nour","Adlershof","Vegetarian;Bio","25.7.2017","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","25.7.2017","Champignon-Cremesuppe mit frischen Kräutern","4"
"Jouis Nour","Adlershof","Bio","26.7.2017","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","7.5"
"Jouis Nour","Adlershof","Vegetarian;Bio","26.7.2017","Bandnudeln an Pfifferlingsrahm und Krischtomaten","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","26.7.2017","Berliner Kartoffelsuppe mit Kräuterschmand","4"
"Jouis Nour","Adlershof","Fish","27.7.2017","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","7.9"
"Jouis Nour","Adlershof","Vegetarian;Bio","27.7.2017","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","27.7.2017","Tomatencremesuppe mit Käse-Croutons","4"
"Jouis Nour","Adlershof","Bio","28.7.2017","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","7.5"
"Jouis Nour","Adlershof","Vegetarian;Vegan;Bio","27.7.2017","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","6"
"Jouis Nour","Adlershof","Vegetarian;Bio","27.7.2017","Lauch-Rahmsüppchen mit Karotttenraspeln","4"
"business","location","ingredients","date","dish","price"
"Sonnenschein","Adlershof","Soup","21.08.2017","Borschtsch Rus.Art, saure Sahne1 Brötchen","4.00"
"Sonnenschein","Adlershof","","21.08.2017","Rinder-Paprika-Gulasch-Ung. Art, Nudeln","6.00"
"Sonnenschein","Adlershof","","21.08.2017","Hühnerbrustroulade, Reispilaw, Champignonrahmsauce","6.00"
"Sonnenschein","Adlershof","","21.08.2017","Schweineroulade „Jäger Art“, Butterkartoffeln, Salat","6.00"
"Sonnenschein","Adlershof","Vegetarian","21.08.2017","Gefüllte Paprika Indische Art, Curry-Kokos-Sauce, Salat (vegetarisch)","5.00"
"Sonnenschein","Adlershof","","22.08.2017","Sommerliche-Gemüse-Rindfleisch-Eintopf & 1 Brötchen","4.00"
"Sonnenschein","Adlershof","","22.08.2017","Hähnchen Cordon Bleu, Bratkartoffeln, Champignonrahmsauce","6.00"
"Sonnenschein","Adlershof","","22.08.2017","Königsberger Klopse in Kapernsauce, Butterkartoffeln, Erbsen","6.00"
"Sonnenschein","Adlershof","","22.08.2017","Mit Feta überbackene Rinderbouletten auf grüne Bohnen in Tomatensauce","6.00"
"Sonnenschein","Adlershof","Vegetarian","22.08.2017","Rahmspinat, Rührei, Butterkartoffeln (vegetarisch)","5.00"
"Sonnenschein","Adlershof","Soup","23.08.2017","Kartoffelsuppe mit Wienerwürstchen & 1 Brötchen","4.00"
"Sonnenschein","Adlershof","","23.08.2017","Schweineschnitzel XXL, Bratkartoffeln, Champignonrahmsauce","6.00"
"Sonnenschein","Adlershof","","23.08.2017","- Hühnerbrustfächer mit Käse überbacken, Nudeln, Paprikarahmsauce, Salat","6.00"
"Sonnenschein","Adlershof","","23.08.2017","Schweineboulette mit Pilzfüllung, Butterkartoffeln, Babymöhren, Pfefferrahmsauce","6.00"
"Sonnenschein","Adlershof","Vegetarian","23.08.2017","Kartoffelklöße zu Pilzbolognese, Salat (vegetarisch)","5.00"
"Sonnenschein","Adlershof","","24.08.2017","Chili con Carne & 1 Brötchen","4.00"
"Sonnenschein","Adlershof","Fish","24.08.2017","Norwegische Lachsroulade mit Spinatkäsefüllung, Kräuterbutter Kartoffeln, Möhrengemüse, Kräuterrahmsauce","6.80"
"Sonnenschein","Adlershof","","24.08.2017","Rinderroulade in Del.sauce, Apfelrotkohl, hausgemachte Kartoffelkößen","6.00"
"Sonnenschein","Adlershof","","24.08.2017","- Lasagne Bolognese, cremige Tomatensauce, Salat","6.00"
"Sonnenschein","Adlershof","Vegetarian","24.08.2017","Mit Nudel & Gemüse gefüllte Auberginen, cremige Tomatensauce, Salat (vegetarisch)","5.00"
"Sonnenschein","Adlershof","Soup","25.08.2017","Hühner-Gemüse-Vermicellisuppe & 1 Brötchen","4.00"
"Sonnenschein","Adlershof","","25.08.2017","Rindergeschnetzeltes Jäger Art, Gemüsereis","6.00"
"Sonnenschein","Adlershof","","25.08.2017","Panierte Hühnerbrust mit Frischkäse-Tomatenfüllung, Bratkartoffeln, Kräuterrahmsauce, Salat","6.00"
"Sonnenschein","Adlershof","","25.08.2017","Schweinefilettaschen mit Pilzhackfüllung, Kräuterrahmsauce, Butterkartoffel, Salat","6.00"
"Sonnenschein","Adlershof","Vegetarian","25.08.2017","Vermicelli-Käse-Auflauf, Sauce, Salat (vegetarisch)","5.00"
"business","location","ingredients","date","dish","price"
"Cafe Campus","Adlershof","","21.08.2017","Tomate Mozzarella Salat","4.90"
"Cafe Campus","Adlershof","","22.08.2017","Tomate Mozzarella Salat","4.90"
"Cafe Campus","Adlershof","","23.08.2017","Tomate Mozzarella Salat","4.90"
"Cafe Campus","Adlershof","","24.08.2017","Tomate Mozzarella Salat","4.90"
"Cafe Campus","Adlershof","","25.08.2017","Tomate Mozzarella Salat","4.90"
"Cafe Campus","Adlershof","","21.08.2017","Spaghetti Bolognese mit Parmesan","4.90"
"Cafe Campus","Adlershof","","22.08.2017","Spaghetti Bolognese mit Parmesan","4.90"
"Cafe Campus","Adlershof","","23.08.2017","Spaghetti Bolognese mit Parmesan","4.90"
"Cafe Campus","Adlershof","","24.08.2017","Spaghetti Bolognese mit Parmesan","4.90"
"Cafe Campus","Adlershof","","25.08.2017","Spaghetti Bolognese mit Parmesan","4.90"
