"business","price","dish","ingredients","date","location"
"Sonnenschein","4.00","Kürbiscurrysuppe mit Gemüse & 1 Brötchen","Soup","08.08.2017","Adlershof"
"Sonnenschein","6.00","Rindertopf mit Kichererbsen in Cherry Tomaten Sauce, Butterkartoffeln","","08.08.2017","Adlershof"
"Sonnenschein","6.00","Hühnchen Peperonata, Reis & frische Oregano","","08.08.2017","Adlershof"
"Sonnenschein","6.00","Mit Schweine gehacktem gefüllte Paprika, Butterkartoffeln, Erbsen, Del.sauce","","08.08.2017","Adlershof"
"Sonnenschein","5.00","Kartoffeln-Zucchini-Auberginen-Auflauf, Salat, (vegetarisch)","Vegetarian","08.08.2017","Adlershof"
"Sonnenschein","6.00","Pastizio (Makkaroni Hackfleischauflauf) Paprikarahmsauce, Salat","","08.08.2017","Adlershof"
"Sonnenschein","4.00","Gemüsesuppe mit rote Linsen und Würstchen & 1 Brötchen","Soup","09.08.2017","Adlershof"
"Sonnenschein","6.00","Rinder Gulasch „Jäger Art“, Nudeln","","09.08.2017","Adlershof"
"Sonnenschein","6.00","Hühnerbrust in Kokos-Mango-Sauce zu Reispilaw","","09.08.2017","Adlershof"
"Sonnenschein","6.00","Schweine geschnetzeltes „Gyros Art“, Bratkartoffeln, Tsatsiki","","09.08.2017","Adlershof"
"Sonnenschein","5.00","Eierkuchen mit Champignonfüllung überbacken mit Käse, Salat, Sauce (vegetarisch)","Vegetarian","09.08.2017","Adlershof"
"Sonnenschein","6.00","Gemüse-Chicken-Medaillons-Burger, Butterkartoffel, Kräuterrahmsauce, Salat","","09.08.2017","Adlershof"
"Sonnenschein","4.00","Chinanudeln mit Huhn & 1 Brötchen","","10.08.2017","Adlershof"
"Sonnenschein","6.00","Kotelett „a la Kiew“ (Hühnerbrust), Bratkartoffeln, Kräuterrahmsauce, Salat","","10.08.2017","Adlershof"
"Sonnenschein","6.80","Lachsschnitte auf Rahmblattspinat, Drillinge Kartoffeln","Fish","10.08.2017","Adlershof"
"Sonnenschein","6.00","- Schaschlik, Zwiebel-Tomatensauce, Bratkartoffeln, Salat","","10.08.2017","Adlershof"
"Sonnenschein","5.50","Gorgonzola Rahmspinat, Butterkartoffeln, 2 gekochtes Eier (vegetarisch)","Vegetarian","10.08.2017","Adlershof"
"Sonnenschein","6.00","Mit Rinder gehacktem gefüllte Paprika, Butterkartoffeln, Erbsen, Del.sauce","","10.08.2017","Adlershof"
"Sonnenschein","4.00","Mediterrane Suppe mit Gemüse & 1 Brötchen","Soup","11.08.2017","Adlershof"
"Sonnenschein","6.00","Rinderroulade in Del.sauce, Apfelrotkohl, Butterkartoffel","","11.08.2017","Adlershof"
"Sonnenschein","6.00","Russische Biljaschi (Teigtasche mit Putengehacktem), Salat, Sauce","","11.08.2017","Adlershof"
"Sonnenschein","5.90","Spagetti Erbsen-Carbonara","","11.08.2017","Adlershof"
"Sonnenschein","5.00","Gemüse Lasagne, cremige Tomatensauce, Salat (vegetarisch)","Vegetarian","11.08.2017","Adlershof"
"Sonnenschein","6.00","Hähnchen Cordon Bleu, Bratkartoffeln, Champignonrahmsauce, Salat","","11.08.2017","Adlershof"
"Jouis Nour","5.9","Mediterrane Gemüse-Lasagne mit Buchweizen und Hausgemachtem Kräuterquark","Bio;Vegetarian","15.8.2017","Adlershof"
"Jouis Nour","4.5","Vegetarisches Chili con Soja mit Koriander und Joghurtdip","Bio;Vegetarian","16.8.2017","Adlershof"
"Jouis Nour","7.5","Schnitzel Wiener Art mit Blumenkohlrahm und Salzkartoffeln","Bio","16.8.2017","Adlershof"
