"location","price","dish","ingredients","date","business"
"Adlershof","6.00","Hackbällchen in Pilz-Kräuter-Rahm, Reis, Salat","","14.08.2017","Sonnenschein"
"Adlershof","6.00","Schweinefiletwürfeln auf Kartoffeln überbacken mit Käse, Salat","","14.08.2017","Sonnenschein"
"Adlershof","5.00","Gemüsequische „Quer durch Beet“, Salat, Paprikarahmsauce (vegetarisch)","Vegetarian","14.08.2017","Sonnenschein"
"Adlershof","4.00","Herzhafte Lammfleischsuppe & 1 Brötchen","Soup","15.08.2017","Sonnenschein"
"Adlershof","6.00","Rindergulasch „Klassisch“, Apfelrotkohl, Butterkartoffeln","","15.08.2017","Sonnenschein"
"Adlershof","6.00","Griechische Putten Rollbraten, grüne Bohnen, Butterkart., Paprikarahmsauce","","15.08.2017","Sonnenschein"
"Adlershof","6.00","Mit Brokkoli gefüllte Schweinefilet, Bratkartoffeln, Salat, Sauce","","15.08.2017","Sonnenschein"
"Adlershof","6.00","Hühnerbruststreifen mit Blumenkohlröschen in Kokos-Mango-Sauce, Reis","","15.08.2017","Sonnenschein"
"Adlershof","5.00","Mangold-Kartoffel-Strudel, Salat, Sauce (vegetarisch)","Vegetarian","15.08.2017","Sonnenschein"
"Adlershof","4.00","Gulaschsuppe & 1 Brötchen","Soup","16.08.2017","Sonnenschein"
"Adlershof","6.00","Mit Rinder gehacktem gefüllte Paprika, Erbsen, Kräuterbutterkartoffeln, Del.sauce","","16.08.2017","Sonnenschein"
"Adlershof","6.00","Chicken Wings Barbecue, Bratkartoffeln, Salat","","16.08.2017","Sonnenschein"
"Adlershof","6.00","Zucchini mit Schweine gehacktem Füllung überbacken, Reis, Paprikarahmsauce","","16.08.2017","Sonnenschein"
"Adlershof","5.50","Spagetti mit Kochschinken würfeln Möhren-Erbsen in Käsesauce","","16.08.2017","Sonnenschein"
"Adlershof","5.00","Penne-Auflauf mit Brokkoli &Tomaten, Salat, Sauce (vegetarisch)","Vegetarian","16.08.2017","Sonnenschein"
"Adlershof","4.00","Chili con Carne & 1 Brötchen","","17.08.2017","Sonnenschein"
"Adlershof","6.80","Norwegische Lachsroulade mit Spinatkäsefüllung, Kräuterbutter Kartoffeln, Möhrengemüse, Kräuterrahmsauce","Fish","17.08.2017","Sonnenschein"
"Adlershof","6.00","Kottelet a la Kiew (Hühnerbrust) Bratkartoffeln, Salat, Sauce","","17.08.2017","Sonnenschein"
"Adlershof","6.00","- Schweine-Paprikagulasch Ung. Art, Nudeln","","17.08.2017","Sonnenschein"
"Adlershof","6.00","Rinder Hacksteak mit einem Spiegelei und Rostbratzwiebeln auf grüne Bohnen, Butterkartoffeln, Del.sauce","","17.08.2017","Sonnenschein"
"Adlershof","5.50","Gorgonzola Rahmspinat, Butterkartoffeln, 2 Spiegeleier (vegetarisch)","Vegetarian","17.08.2017","Sonnenschein"
"Adlershof","4.00","Kartoffelsuppe mit Würstchen a la Greque & 1 Brötchen","Soup","18.08.2017","Sonnenschein"
"Adlershof","6.00","Saltimbocca a la Romana (Hühnerbrust) Bratkartoffeln, Salat, Anjarsauce","","18.08.2017","Sonnenschein"
"Adlershof","6.00","Pastizio (Nudeln-Hackfleisch-Auflauf), Sauce, Salat","","18.08.2017","Sonnenschein"
"Adlershof","6.00","Eierkuchenpäckchen mit Rindergehacktem überbacken mit Käse zu Gemüseragout","","18.08.2017","Sonnenschein"
"Adlershof","6.00","Matjesfilet Hausfrauen Art, Butterkartoffeln, Salat","","18.08.2017","Sonnenschein"
"Adlershof","5.00","Kartoffel-Gemüse-Gratin, Sauce, Salat (vegetarisch)","Vegetarian","18.08.2017","Sonnenschein"
"Adlershof","6.00","Flammkuchen: Thunfisch & Zwiebeln","Fish;Flammkuchen","16.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Thunfisch & Zwiebeln","Fish;Flammkuchen","17.08.2017","Albert"
"Adlershof","6.00","Flammkuchen: Thunfisch & Zwiebeln","Fish;Flammkuchen","18.08.2017","Albert"
"Adlershof","5.9","Mediterrane Gemüse-Lasagne mit Buchweizen und Hausgemachtem Kräuterquark","Bio;Vegetarian","15.8.2017","Jouis Nour"
"Adlershof","4.5","Vegetarisches Chili con Soja mit Koriander und Joghurtdip","Bio;Vegetarian","16.8.2017","Jouis Nour"
"Adlershof","7.5","Schnitzel Wiener Art mit Blumenkohlrahm und Salzkartoffeln","Bio","16.8.2017","Jouis Nour"
"Adlershof","5.9","Penne Arabiatta mit Kirschtomaten und Gouda","Bio;Vegetarian","16.8.2017","Jouis Nour"
